metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
hit_at_2,wilcoxon,33,33,33,1.0,0.9393939393939394,0.06060606060606055,0.0,0.15151515151515152,0.15729920705028502,0.35372615062830515,small,anomaly_direction,high_anomaly,1.0,0.23317589008578704,False,False,False
loss_value,wilcoxon,33,33,33,1209.090909090909,766.6666666666666,442.4242424242424,-1454.621212121212,3036.8181818181793,0.463071015014588,0.09360395560573631,negligible,anomaly_direction,high_anomaly,1.0,0.5643677995490292,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,4,3,0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,,1.8257418583505538,large,anomaly_direction,high_anomaly,,,False,False,False
hit_at_2,wilcoxon,24,24,24,1.0,0.75,0.25,0.08333333333333333,0.4166666666666667,0.014305878435429648,0.7993052538854533,medium,anomaly_direction,low_anomaly,0.5579292589817563,0.047667193138754414,True,True,False
loss_value,wilcoxon,24,24,24,137.5,2637.5,-2500.0,-4287.8125,-949.7916666666678,0.007685794055213263,-0.7947332358067941,medium,anomaly_direction,low_anomaly,0.2997459681533173,0.035320876905178364,True,True,False
rank2_rescue_on_miss1,mannwhitneyu,3,8,0,1.0,0.25,0.75,0.375,1.0,,1.8371173070873836,large,anomaly_direction,low_anomaly,,,False,False,False
hit_at_2,wilcoxon,375,375,375,0.9893333333333333,0.864,0.1253333333333333,0.09333333333333334,0.16,1.8898968170348683e-11,0.49465258387617533,small,anomaly_direction,normal,7.370597586435986e-10,7.370597586435986e-10,True,True,True
loss_value,wilcoxon,375,375,375,1044.5333333333333,1935.7333333333333,-891.2,-1460.8133333333333,-303.42000000000024,5.4106612528490616e-05,-0.1946154181085263,negligible,anomaly_direction,normal,0.002110157888611134,0.001055078944305567,True,True,True
rank2_rescue_on_miss1,mannwhitneyu,17,75,0,0.5882352941176471,0.30666666666666664,0.28156862745098044,0.03058823529411764,0.5247058823529411,0.030194260403735945,0.5963392071972962,medium,anomaly_direction,normal,1.0,0.06665965765351117,True,False,False
hit_at_2,mannwhitneyu,420,282,279,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,282,279,868.3333333333334,678.0141843971631,190.31914893617022,-75.66308243727599,995.851254480286,0.37303999003203436,0.052750229450289156,negligible,difficulty_failure,hit_day,1.0,0.4693083745564303,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,18,23,0,0.8333333333333334,0.9565217391304348,-0.12318840579710144,-0.33333333333333337,0.050724637681159424,0.20141741242425837,-0.4137923831578985,small,difficulty_failure,hit_day,1.0,0.2805456815909313,False,False,False
hit_at_2,mannwhitneyu,12,150,9,0.6666666666666666,0.6066666666666667,0.05999999999999994,-0.22666666666666674,0.31666666666666665,0.6853283418096381,0.12237891592902157,negligible,difficulty_failure,miss_day,1.0,0.7636515808735967,False,False,False
loss_value,mannwhitneyu,12,150,9,5850.0,4155.333333333333,1694.666666666667,-2018.85,6035.283333333332,0.3420583164650397,0.2551047417078669,small,difficulty_failure,miss_day,1.0,0.44467581140455165,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,6,63,0,0.3333333333333333,0.06349206349206349,0.2698412698412698,-0.07936507936507936,0.6349206349206349,0.027569896305654124,0.9800338105602632,large,difficulty_failure,miss_day,1.0,0.06665965765351117,True,False,False
hit_at_2,wilcoxon,108,108,31,0.9629629629629629,0.5648148148148148,0.39814814814814814,0.16129032258064516,0.4838709677419355,0.001565402258002548,1.0563991014801457,large,pred_span_quartile,Q1,0.06105068806209937,0.012210137612419875,True,True,False
loss_value,wilcoxon,108,108,31,3484.259259259259,5454.62962962963,-1970.3703703703704,-4103.306451612903,1716.2096774193544,0.10432158354212893,-0.25885110618683393,small,pred_span_quartile,Q1,1.0,0.1695225732559595,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,14,63,0,0.5714285714285714,0.23809523809523808,0.3333333333333333,0.05535714285714287,0.6111111111111112,0.01466682865807828,0.7489308618940977,medium,pred_span_quartile,Q1,0.5720063176650529,0.047667193138754414,True,True,False
hit_at_2,wilcoxon,108,108,23,1.0,0.9259259259259259,0.07407407407407407,0.0,0.21739130434782608,0.15729920705028502,0.3981438414926426,small,pred_span_quartile,Q2,1.0,0.23317589008578704,False,False,False
loss_value,wilcoxon,108,108,23,496.2962962962963,1580.5555555555557,-1084.2592592592594,-3443.478260869565,-25.97826086956581,0.0663160312989308,-0.3585066063406349,small,pred_span_quartile,Q2,1.0,0.11244892263731743,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,9,16,0,0.8888888888888888,0.5,0.38888888888888884,0.07638888888888884,0.6875,0.06132595598836428,0.8434986063947579,large,pred_span_quartile,Q2,1.0,0.10871419470664577,False,False,False
hit_at_2,wilcoxon,108,108,35,1.0,0.9629629629629629,0.03703703703703709,0.0,0.08571428571428572,0.31731050786291415,0.27606308375229466,small,pred_span_quartile,Q3,1.0,0.42672792436736734,False,False,False
loss_value,wilcoxon,108,108,35,34.25925925925926,494.44444444444446,-460.1851851851852,-994.3571428571429,17.214285714285325,0.16142946236708333,-0.33168252155100353,small,pred_span_quartile,Q3,1.0,0.23317589008578704,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,1,7,0,1.0,0.42857142857142855,0.5714285714285714,0.1428571428571429,0.8571428571428572,,,na,pred_span_quartile,Q3,,,False,False,False
hit_at_2,mannwhitneyu,108,108,47,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
loss_value,mannwhitneyu,108,108,47,12.037037037037036,12.037037037037036,0.0,-36.111111111111114,36.111111111111114,1.0,0.0,negligible,pred_span_quartile,Q4,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,0,0,0,,,,,,,,na,pred_span_quartile,Q4,,,False,False,False
hit_at_2,wilcoxon,63,63,63,1.0,0.8888888888888888,0.11111111111111116,0.031746031746031744,0.19047619047619047,0.0081509715935027,0.4960158727618968,small,weekday,Friday,0.3178878921466053,0.035320876905178364,True,True,False
loss_value,wilcoxon,63,63,63,560.3174603174604,1814.2857142857142,-1253.968253968254,-2625.634920634921,-125.31746031746074,0.027857098015306787,-0.3578589611899987,small,weekday,Friday,1.0,0.06665965765351117,True,False,False
rank2_rescue_on_miss1,mannwhitneyu,1,12,0,1.0,0.4166666666666667,0.5833333333333333,0.33333333333333337,0.8333333333333334,,,na,weekday,Friday,,,False,False,False
hit_at_2,wilcoxon,60,60,60,1.0,0.7833333333333333,0.21666666666666667,0.11666666666666667,0.31666666666666665,0.0003114909767673833,0.7375443249091365,medium,weekday,Monday,0.01214814809392795,0.004049382697975983,True,True,True
